,ALKT
Price/Earnings (TTM),
Price/Sales (TTM),5.66094
Price/Book (MRQ),3.30061
Price/Cash Flow (TTM),
5yr Low,9.23
5yr High,49.32
5yr Avg Return,-0.46335
Short Int Current Month,1118058.0
Short Int Prev Month,1145683.0
Short Int Pct of Float,0.0306356
Days to Cover,3.61227
Float,55.27833
Shares Outstanding,91.478
Institutions Holding Shares,143.0
% Held by Institutions,0.5609839999999999
FCF Growth 5yr,0.2720609753944166
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
