,FA
% Above Low,0.29
% Held by Institutions,0.9536
52-Wk Range,['10.07 - 21.01']
Annual Dividend $,
Annual Dividend %,
Ask,14.5
Ask Size,400.0
B/A Ratio,0.5
B/A Size,200x400
Beta,
Bid,5.32
Bid Size,200.0
Closing Price,12.99
Day Change $,0.06
Day Change %,0.0046
Day High,13.42
Day Low,12.78
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.39
Ex-dividend Date,No dividend
Historical Volatility,0.493
Last (size),28.0
Last (time),1:00p ET 11/25/22
Market Cap,2.0B
"P/E Ratio (TTM, GAAP)",33.06
Prev Close,12.93
Shares Outstanding,151.9M
Short Interest,0.042300000000000004
Today's Open,12.96
Volume,327150.0
Volume 10-day Avg,641512.0
Volume Past Day,(Light)
