,FA
Price/Earnings (TTM),33.06437
Price/Sales (TTM),2.43662
Price/Book (MRQ),1.71525
Price/Cash Flow (TTM),9.89613
5yr Low,10.07
5yr High,24.73
5yr Avg Return,-0.18055
Short Int Current Month,2399462.0
Short Int Prev Month,2358205.0
Short Int Pct of Float,0.0422776
Days to Cover,2.60116
Float,146.6356
Shares Outstanding,151.9295
Institutions Holding Shares,159.0
% Held by Institutions,0.953611
FCF Growth 5yr,0.3801073312995587
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
