,Earnings Result,Actual,Estimate,Growth,Low Estimate,Low Growth Est,High Estimate,High Growth Est,Consensus Estimate,Actual/Estimate,A/E Growth,Consensus Growth Est
Year ending 12/2021,Positive Surprise,1.01,,,,,,,0.87,1.01,,
Year ending 12/2022,Neutral,,1.02,0.0,1.02,,1.03,,1.02,1.02,0.00990099009900991,
Year ending 12/2023,Neutral,,1.05,0.0,0.97,-0.0490196078431373,1.14,0.10679611650485432,1.05,1.05,0.02941176470588247,0.02888825433085851
