,GTN
Next Earnings Announcement,2023-02-24 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.8480392156862745
Growth 2yr High Est,-0.6825396825396826
Growth 2yr Consensus Est,-0.7652894491129785
Growth 5yr Low Est,-0.8480392156862745
Growth 5yr High Est,-0.6825396825396826
Growth 5yr Consensus Est,-0.7652894491129785
Growth 5yr Actual/Est,2.4525453380330244
Growth 3yr Historic,0.27054951464400273
