,GTN
% Above Low,0.26480000000000004
% Held by Institutions,0.8804000000000001
52-Wk Range,['8.61 - 24.81']
Annual Dividend $,0.32
Annual Dividend %,0.0294
Ask,11.5
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.6
Bid,10.57
Bid Size,100.0
Closing Price,10.89
Day Change $,-0.04
Day Change %,-0.0037
Day High,11.06
Day Low,10.89
Dividend Pay Date,2022-12-30 00:00:00
"EPS (TTM, GAAP)",2.63
Ex-dividend,2022-12-14 00:00:00
Ex-dividend Date,12/14/22
Historical Volatility,0.604
Last (size),50.0
Last (time),5:00p ET 11/25/22
Market Cap,1.0B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",4.14
Prev Close,10.93
Shares Outstanding,93.1M
Short Interest,0.048
Today's Open,10.93
Volume,165974.0
Volume 10-day Avg,916300.0
Volume Past Day,(Light)
