,GTN
Price/Earnings (TTM),4.13746
Price/Sales (TTM),0.30463
Price/Book (MRQ),0.52474
Price/Cash Flow (TTM),1.66047
5yr Low,8.53
5yr High,25.31
5yr Avg Return,-0.018116666666666663
EPS Growth 5yr,-0.141114
Revenue Growth 5yr,0.2432273
Dividend Growth 5yr,
Short Int Current Month,3532301.0
Short Int Prev Month,3493922.0
Short Int Pct of Float,0.0479613
Days to Cover,1.99937
Float,75.80904
Shares Outstanding,93.09444
Institutions Holding Shares,276.0
% Held by Institutions,0.880429
FCF Growth 5yr,0.5241972276072626
