,BG
% Above Low,0.2658
% Held by Institutions,0.8543999999999999
52-Wk Range,['80.41 - 128.40']
Annual Dividend $,2.5
Annual Dividend %,0.0246
Ask,104.42
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,0.7
Bid,101.8
Bid Size,100.0
Closing Price,101.78
Day Change $,0.6
Day Change %,0.0059
Day High,103.13
Day Low,101.53
Dividend Pay Date,2023-03-02 00:00:00
"EPS (TTM, GAAP)",9.76
Ex-dividend,2023-02-15 00:00:00
Ex-dividend Date,02/15/23
Historical Volatility,0.33299999999999996
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,15.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",10.42
Prev Close,101.18
Shares Outstanding,149.8M
Short Interest,0.0173
Today's Open,101.82
Volume,544650.0
Volume 10-day Avg,1136323.0
Volume Past Day,(Light)
