,PCAR
Price/Earnings (TTM),14.07898
Price/Sales (TTM),1.33422
Price/Book (MRQ),2.833
Price/Cash Flow (TTM),10.81388
5yr Low,49.11
5yr High,107.18
5yr Avg Return,0.09013333333333334
EPS Growth 5yr,0.2909
Revenue Growth 5yr,0.06669
Dividend Growth 5yr,0.127298
Short Int Current Month,4077818.0
Short Int Prev Month,3257492.0
Short Int Pct of Float,0.011934400000000001
Days to Cover,1.78843
Float,341.7289
Shares Outstanding,347.7676
Institutions Holding Shares,1014.0
% Held by Institutions,0.637789
FCF Growth 5yr,1.0300208084959148
