,PCAR
% Below High,0.0236
% Held by Institutions,0.6378
52-Wk Range,['77.00 - 107.18']
Annual Dividend $,1.48
Annual Dividend %,0.0141
Ask,104.66
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,0.9
Bid,104.64
Bid Size,100.0
Day Change $,-0.38
Day Change %,-0.0036
Day High,104.94
Day Low,104.51
Dividend Pay Date,2022-12-06 00:00:00
"EPS (TTM, GAAP)",7.46
Ex-dividend,2022-11-14 00:00:00
Ex-dividend Date,11/14/22
Historical Volatility,0.269
Last (size),100.0
Last (time),10:15a ET 11/28/22
Market Cap,36.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",14.08
Prev Close,105.03
Price,104.65
Shares Outstanding,347.8M
Short Interest,0.011899999999999999
Today's Open,104.7
Volume Past Day,(Light)
