,PCAR
Next Earnings Announcement,2023-01-24 00:00:00
Growth Analysts,21.0
Growth 1yr Low Est,0.4784313725490197
Growth 1yr High Est,0.5377532228360957
Growth 1yr Consensus Est,0.5080922976925577
Growth 2yr Low Est,0.19014406823737456
Growth 2yr High Est,0.3119903838731377
Growth 2yr Consensus Est,0.2510672260552561
Growth 5yr Low Est,0.08793585009919452
Growth 5yr High Est,0.1368194443125454
Growth 5yr Consensus Est,0.11237764720586996
Growth 5yr Actual/Est,0.11988391628107084
Growth 3yr Historic,-0.008286045660820918
