,REVG
Price/Earnings (TTM),324.5064
Price/Sales (TTM),0.36064
Price/Book (MRQ),1.8505
Price/Cash Flow (TTM),23.47733
5yr Low,3.5
5yr High,33.15
5yr Avg Return,0.06195000000000001
EPS Growth 5yr,0.0557713
Revenue Growth 5yr,0.04331
Dividend Growth 5yr,
Short Int Current Month,1376149.0
Short Int Prev Month,1496037.0
Short Int Pct of Float,0.0448413
Days to Cover,9.84539
Float,30.6893
Shares Outstanding,59.32353
Institutions Holding Shares,159.0
% Held by Institutions,0.995867
FCF Growth 5yr,-1.0197923291370543
