,REVG
Next Earnings Announcement,2022-12-14 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,-0.4017857142857143
Growth 1yr High Est,-0.3170731707317074
Growth 1yr Consensus Est,-0.35942944250871084
Growth 2yr Low Est,0.0005996801705756005
Growth 2yr High Est,0.06765389082462248
Growth 2yr Consensus Est,0.03412678549759904
Growth 5yr Low Est,0.0005996801705756005
Growth 5yr High Est,0.06765389082462248
Growth 5yr Consensus Est,0.03412678549759904
Growth 5yr Actual/Est,1.5907084949364363
Growth 3yr Historic,1.5614583333333334
