,REVG
% Below High,0.1875
% Held by Institutions,0.9959
52-Wk Range,['9.50 - 16.91']
Annual Dividend $,0.2
Annual Dividend %,0.0143
Ask,13.76
Ask Size,100.0
B/A Ratio,4.0
B/A Size,400x100
Beta,2.0
Bid,13.72
Bid Size,400.0
Day Change $,-0.23
Day Change %,-0.0165
Day High,14.0
Day Low,13.71
Dividend Pay Date,2022-10-14 00:00:00
"EPS (TTM, GAAP)",0.04
Ex-dividend,2022-09-29 00:00:00
Ex-dividend Date,09/29/22
Historical Volatility,0.54
Last (size),100.0
Last (time),12:35p ET 11/28/22
Market Cap,815.4M
"P/E Ratio (TTM, GAAP)",324.51
Prev Close,13.97
Price,13.74
Shares Outstanding,59.3M
Short Interest,0.044800000000000006
Today's Open,13.91
Volume Past Day,(Light)
