,SFM
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,20.0
Growth 1yr Low Est,0.1391752577319587
Growth 1yr High Est,0.107981220657277
Growth 1yr Consensus Est,0.12357823919461786
Growth 2yr Low Est,-0.03448476932406591
Growth 2yr High Est,0.09000755948118089
Growth 2yr Consensus Est,0.027761395078557488
Growth 5yr Low Est,-0.03448476932406591
Growth 5yr High Est,0.09000755948118089
Growth 5yr Consensus Est,0.027761395078557488
Growth 5yr Actual/Est,0.23801402608412628
Growth 3yr Historic,0.2020493827160494
