,SFM
Price/Earnings (TTM),14.61109
Price/Sales (TTM),0.5592
Price/Book (MRQ),3.41627
Price/Cash Flow (TTM),9.31462
5yr Low,13.0
5yr High,35.34
5yr Avg Return,0.08803333333333332
EPS Growth 5yr,0.2042129
Revenue Growth 5yr,0.0855521
Dividend Growth 5yr,
Short Int Current Month,14359349.0
Short Int Prev Month,14402355.0
Short Int Pct of Float,0.13640090000000002
Days to Cover,6.48026
Float,103.6191
Shares Outstanding,105.8525
Institutions Holding Shares,495.0
% Held by Institutions,1.074333
FCF Growth 5yr,
