,SFM
% Below High,0.042699999999999995
% Held by Institutions,1.0743
52-Wk Range,['22.56 - 35.34']
Annual Dividend $,
Annual Dividend %,
Ask,33.84
Ask Size,200.0
B/A Ratio,2.5
B/A Size,500x200
Beta,0.4
Bid,33.82
Bid Size,500.0
Day Change $,0.44
Day Change %,0.0132
Day High,34.17
Day Low,33.18
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",2.29
Ex-dividend Date,No dividend
Historical Volatility,0.489
Last (size),100.0
Last (time),2:02p ET 11/28/22
Market Cap,3.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",14.61
Prev Close,33.39
Price,33.83
Shares Outstanding,105.9M
Short Interest,0.1364
Today's Open,33.18
Volume Past Day,(Below Average)
