,AHCO
Price/Earnings (TTM),34.14197
Price/Sales (TTM),1.0122
Price/Book (MRQ),1.35131
Price/Cash Flow (TTM),6.90195
5yr Low,7.82
5yr High,41.58
5yr Avg Return,0.425
Short Int Current Month,10165562.0
Short Int Prev Month,10440270.0
Short Int Pct of Float,0.1217642
Days to Cover,8.63169
Float,88.30751
Shares Outstanding,134.7317
Institutions Holding Shares,260.0
% Held by Institutions,0.819105
FCF Growth 5yr,-0.9517434620174345
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
