,AHCO
% Below High,0.20920000000000002
% Held by Institutions,0.8190999999999999
52-Wk Range,['11.40 - 27.48']
Annual Dividend $,
Annual Dividend %,
Ask,23.6
Ask Size,200.0
B/A Ratio,22.5
B/A Size,4500x200
Beta,0.6
Bid,19.45
Bid Size,4500.0
Closing Price,21.73
Day Change $,0.13
Day Change %,0.006
Day High,22.04
Day Low,21.4
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.64
Ex-dividend Date,No dividend
Historical Volatility,0.6
Last (size),22.0
Last (time),12:59p ET 11/25/22
Market Cap,2.9B
"P/E Ratio (TTM, GAAP)",34.14
Prev Close,21.6
Shares Outstanding,134.7M
Short Interest,0.12179999999999999
Today's Open,21.57
Volume,195285.0
Volume 10-day Avg,788551.0
Volume Past Day,(Light)
