,BW
Price/Earnings (TTM),
Price/Sales (TTM),0.49842
Price/Book (MRQ),
Price/Cash Flow (TTM),94.72606
5yr Low,0.77
5yr High,76.6
5yr Avg Return,0.01951666666666667
EPS Growth 5yr,
Revenue Growth 5yr,-0.1263126
Dividend Growth 5yr,
Short Int Current Month,2596794.0
Short Int Prev Month,2788055.0
Short Int Pct of Float,0.030443699999999997
Days to Cover,3.06166
Float,85.29832
Shares Outstanding,88.63363
Institutions Holding Shares,152.0
% Held by Institutions,0.855324
FCF Growth 5yr,0.01929302885541251
