,BW
% Above Low,0.2031
% Held by Institutions,0.8553000000000001
52-Wk Range,['3.89 - 9.52']
Annual Dividend $,
Annual Dividend %,
Ask,5.3
Ask Size,400.0
B/A Ratio,2.5
B/A Size,1000x400
Beta,2.1
Bid,4.67
Bid Size,1000.0
Closing Price,4.68
Day Change $,-0.12
Day Change %,-0.025
Day High,4.83
Day Low,4.68
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.17
Ex-dividend Date,No dividend
Historical Volatility,0.8029999999999999
Last (size),71.0
Last (time),5:00p ET 11/25/22
Market Cap,414.8M
"P/E Ratio (TTM, GAAP)",
Prev Close,4.8
Shares Outstanding,88.6M
Short Interest,0.0304
Today's Open,4.8
Volume,240810.0
Volume 10-day Avg,510742.0
Volume Past Day,(Light)
