,TENB
% Above Low,0.2986
% Held by Institutions,0.8991
52-Wk Range,['28.80 - 63.61']
Annual Dividend $,
Annual Dividend %,
Ask,37.43
Ask Size,100.0
Ask close,46.4
B/A Ratio,35.0
B/A Size,3500x100
Beta,1.3
Bid,37.4
Bid Size,3500.0
Bid close,29.23
Change Since Close,0.00| |(0.00%)
Closing Price,37.4
Day Change $,-0.49
Day Change %,-0.0129
Day High,38.38
Day Low,37.26
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.74
Ex-dividend Date,No dividend
Historical Volatility,0.6070000000000001
Last (size),772.0
Last (time),4:00p ET 11/28/22
Last Trade,37.4
Market Cap,4.2B
"P/E Ratio (TTM, GAAP)",
Prev Close,37.89
Shares Outstanding,112.5M
Short Interest,0.0271
Today's Open,37.68
Volume,376848.0
Volume 10-day Avg,658305.0
Volume Past Day,(Light)
