,TENB
Next Earnings Announcement,2023-01-31 00:00:00
Growth Analysts,16.0
Growth 1yr Low Est,-1.7111111111111112
Growth 1yr High Est,-1.868421052631579
Growth 1yr Consensus Est,-1.789766081871345
Growth 2yr Low Est,-0.7461805555555556
Growth 2yr High Est,-0.3887559808612441
Growth 2yr Consensus Est,-0.5674682682083998
Growth 5yr Low Est,-0.3730902777777778
Growth 5yr High Est,-0.19437799043062204
Growth 5yr Consensus Est,-0.2837341341041999
Growth 5yr Actual/Est,-0.02418269939554768
Growth 3yr Historic,-0.1657268170426065
