,TENB
Price/Earnings (TTM),
Price/Sales (TTM),6.58324
Price/Book (MRQ),16.38942
Price/Cash Flow (TTM),
5yr Low,16.28
5yr High,63.61
5yr Avg Return,0.13112000000000001
EPS Growth 5yr,
Revenue Growth 5yr,0.3418887
Dividend Growth 5yr,
Short Int Current Month,2996025.0
Short Int Prev Month,2610482.0
Short Int Pct of Float,0.0270642
Days to Cover,2.66115
Float,110.758
Shares Outstanding,112.5141
Institutions Holding Shares,391.0
% Held by Institutions,0.899136
FCF Growth 5yr,0.27164751018873684
