,WOLF
Next Earnings Announcement,2023-01-25 00:00:00
Growth Analysts,14.0
Growth 1yr Low Est,-0.3789473684210526
Growth 1yr High Est,-1.2045454545454546
Growth 1yr Consensus Est,-0.7917464114832535
Growth 2yr Low Est,-0.11320249776984831
Growth 2yr High Est,3.9810606060606064
Growth 2yr Consensus Est,1.933929054145379
Growth 5yr Low Est,-0.07546833184656554
Growth 5yr High Est,2.6540404040404044
Growth 5yr Consensus Est,1.2892860360969196
Growth 5yr Actual/Est,-1.1839247311827956
Growth 3yr Historic,0.15107526881720434
