,WOLF
Price/Earnings (TTM),
Price/Sales (TTM),13.45881
Price/Book (MRQ),5.30083
Price/Cash Flow (TTM),
5yr Low,27.77
5yr High,142.33
5yr Avg Return,0.21753333333333333
EPS Growth 5yr,
Revenue Growth 5yr,-0.1271683
Dividend Growth 5yr,
Short Int Current Month,9132788.0
Short Int Prev Month,8424411.0
Short Int Pct of Float,0.0740455
Days to Cover,3.06271
Float,123.3402
Shares Outstanding,124.2133
Institutions Holding Shares,666.0
% Held by Institutions,1.035218
FCF Growth 5yr,-0.1002143224521485
