,WOLF
% Above Low,0.4458
% Held by Institutions,1.0352
52-Wk Range,['58.07 - 129.09']
Annual Dividend $,
Annual Dividend %,
Ask,87.0
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.4
Bid,83.0
Bid Size,100.0
Closing Price,83.96
Day Change $,-6.07
Day Change %,-0.0674
Day High,90.0
Day Low,83.23
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.07
Ex-dividend Date,No dividend
Historical Volatility,0.762
Last (size),2.0
Last (time),7:00p ET 11/28/22
Market Cap,10.4B
"P/E Ratio (TTM, GAAP)",
Prev Close,90.03
Shares Outstanding,124.2M
Short Interest,0.07400000000000001
Today's Open,88.17
Volume,2677697.0
Volume 10-day Avg,2697355.0
Volume Past Day,(Average)
