,PETS
% Above Low,0.0966
% Held by Institutions,0.7859
52-Wk Range,['18.22 - 29.53']
Annual Dividend $,1.2
Annual Dividend %,0.0604
Ask,20.02
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.6
Bid,19.97
Bid Size,100.0
Day Change $,0.1
Day Change %,0.005
Day High,20.1
Day Low,19.78
Dividend Pay Date,2022-11-30 00:00:00
"EPS (TTM, GAAP)",0.77
Ex-dividend,2022-11-17 00:00:00
Ex-dividend Date,11/17/22
Historical Volatility,0.401
Last (size),100.0
Last (time),10:30a ET 11/28/22
Market Cap,421.1M
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",25.78
Prev Close,19.88
Price,19.98
Shares Outstanding,21.1M
Short Interest,0.20420000000000002
Today's Open,19.78
Volume Past Day,(Light)
