,PETS
Price/Earnings (TTM),25.77767
Price/Sales (TTM),1.59735
Price/Book (MRQ),3.03314
Price/Cash Flow (TTM),22.42357
5yr Low,15.0
5yr High,57.8
5yr Avg Return,-0.06808333333333333
EPS Growth 5yr,-0.0237587
Revenue Growth 5yr,0.0187412
Dividend Growth 5yr,0.0956543
Short Int Current Month,4111693.0
Short Int Prev Month,4340702.0
Short Int Pct of Float,0.2042246
Days to Cover,9.88497
Float,20.17069
Shares Outstanding,21.07568
Institutions Holding Shares,244.0
% Held by Institutions,0.78593
FCF Growth 5yr,-0.06582791487486217
