,PETS
Next Earnings Announcement,2023-01-23 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,-0.26530612244897955
Growth 1yr High Est,-0.2524271844660194
Growth 1yr Consensus Est,-0.2588666534574995
Growth 2yr Low Est,-0.05626417233560094
Growth 2yr High Est,0.15300718698776944
Growth 2yr Consensus Est,0.04837150732608425
Growth 5yr Low Est,-0.16409172670474662
Growth 5yr High Est,-0.016745208674820395
Growth 5yr Consensus Est,-0.0904184676897835
Growth 5yr Actual/Est,-0.030751930138405104
Growth 3yr Historic,-0.034373725010199946
