,RBBN
Price/Earnings (TTM),
Price/Sales (TTM),0.53317
Price/Book (MRQ),0.89
Price/Cash Flow (TTM),
5yr Low,1.95
5yr High,11.25
5yr Avg Return,-0.04911666666666666
EPS Growth 5yr,
Revenue Growth 5yr,0.2731611
Dividend Growth 5yr,
Short Int Current Month,3367421.0
Short Int Prev Month,3423585.0
Short Int Pct of Float,0.0244652
Days to Cover,6.94722
Float,137.8406
Shares Outstanding,168.1231
Institutions Holding Shares,169.0
% Held by Institutions,0.7061369999999999
FCF Growth 5yr,0.58710545039731
