,RBBN
% Above Low,0.16890000000000002
% Held by Institutions,0.7061
52-Wk Range,['2.19 - 6.42']
Annual Dividend $,
Annual Dividend %,
Ask,2.56
Ask Size,400.0
B/A Ratio,3.0
B/A Size,1200x400
Beta,1.1
Bid,2.55
Bid Size,1200.0
Day Change $,-0.03
Day Change %,-0.0116
Day High,2.57
Day Low,2.53
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.43
Ex-dividend Date,No dividend
Historical Volatility,0.691
Last (size),100.0
Last (time),12:16p ET 11/28/22
Market Cap,430.4M
"P/E Ratio (TTM, GAAP)",
Prev Close,2.59
Price,2.56
Shares Outstanding,168.1M
Short Interest,0.0245
Today's Open,2.57
Volume Past Day,(Light)
