,EXP
Price/Earnings (TTM),12.35747
Price/Sales (TTM),2.4284
Price/Book (MRQ),4.31367
Price/Cash Flow (TTM),8.94995
5yr Low,41.83
5yr High,169.15
5yr Avg Return,0.11351666666666667
EPS Growth 5yr,0.17407129999999998
Revenue Growth 5yr,0.0897554
Dividend Growth 5yr,0.20112439999999998
Short Int Current Month,949760.0
Short Int Prev Month,1070911.0
Short Int Pct of Float,0.0261222
Days to Cover,3.60376
Float,36.35833
Shares Outstanding,36.84466
Institutions Holding Shares,460.0
% Held by Institutions,0.958036
FCF Growth 5yr,0.25638753757197524
