,EXP
Next Earnings Announcement,2023-01-26 00:00:00
Growth Analysts,16.0
Growth 1yr Low Est,0.29101123595505607
Growth 1yr High Est,0.31045406546990484
Growth 1yr Consensus Est,0.30073265071248045
Growth 2yr Low Est,0.06369534817770206
Growth 2yr High Est,0.19753162580505723
Growth 2yr Consensus Est,0.13061348699137965
Growth 5yr Low Est,0.06369534817770206
Growth 5yr High Est,0.19753162580505723
Growth 5yr Consensus Est,0.13061348699137965
Growth 5yr Actual/Est,0.218249588709501
Growth 3yr Historic,0.15002798084641428
