,HLT
% Below High,0.177
% Held by Institutions,0.9615
52-Wk Range,['108.41 - 167.99']
Annual Dividend $,0.6
Annual Dividend %,0.0043
Ask,164.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.2
Bid,121.0
Bid Size,100.0
Closing Price,138.25
Day Change $,-0.29
Day Change %,-0.0021
Day High,139.3
Day Low,137.09
Dividend Pay Date,2022-12-30 00:00:00
"EPS (TTM, GAAP)",3.85
Ex-dividend,2022-11-09 00:00:00
Ex-dividend Date,11/09/22
Historical Volatility,0.387
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,37.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",35.92
Prev Close,138.54
Shares Outstanding,270.5M
Short Interest,0.018600000000000002
Today's Open,138.3
Volume,977633.0
Volume 10-day Avg,1609549.0
Volume Past Day,(Light)
