,HLT
Price/Earnings (TTM),35.91693
Price/Sales (TTM),4.57937
Price/Book (MRQ),
Price/Cash Flow (TTM),30.15366
5yr Low,44.3
5yr High,167.99
5yr Avg Return,0.13426666666666667
EPS Growth 5yr,
Revenue Growth 5yr,-0.025204900000000002
Dividend Growth 5yr,
Short Int Current Month,4938989.0
Short Int Prev Month,4967002.0
Short Int Pct of Float,0.0185945
Days to Cover,2.18868
Float,265.6379
Shares Outstanding,270.456
Institutions Holding Shares,1000.0
% Held by Institutions,0.9614790000000001
FCF Growth 5yr,2.687513662429442
