,ALTR
Price/Earnings (TTM),
Price/Sales (TTM),6.86001
Price/Book (MRQ),7.07669
Price/Cash Flow (TTM),
5yr Low,20.5
5yr High,82.96
5yr Avg Return,0.17373333333333335
EPS Growth 5yr,
Revenue Growth 5yr,0.1118242
Dividend Growth 5yr,
Short Int Current Month,2434815.0
Short Int Prev Month,2562320.0
Short Int Pct of Float,0.0473446
Days to Cover,6.26058
Float,51.56253
Shares Outstanding,80.14242
Institutions Holding Shares,247.0
% Held by Institutions,0.976595
FCF Growth 5yr,0.8271546584458093
