,ALTR
% Above Low,0.09570000000000001
% Held by Institutions,0.9765999999999999
52-Wk Range,['43.17 - 78.38']
Annual Dividend $,
Annual Dividend %,
Ask,47.66
Ask Size,700.0
B/A Ratio,0.14285714285714285
B/A Size,100x700
Beta,1.5
Bid,46.94
Bid Size,100.0
Closing Price,47.3
Day Change $,0.05
Day Change %,0.0011
Day High,47.65
Day Low,45.56
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.73
Ex-dividend Date,No dividend
Historical Volatility,0.394
Last (size),14.0
Last (time),12:59p ET 11/25/22
Market Cap,3.8B
"P/E Ratio (TTM, GAAP)",
Prev Close,47.25
Shares Outstanding,80.1M
Short Interest,0.0473
Today's Open,47.22
Volume,123385.0
Volume 10-day Avg,450132.0
Volume Past Day,(Light)
