,INFA
% Above Low,0.0704
% Held by Institutions,0.4539
52-Wk Range,['16.20 - 40.13']
Annual Dividend $,
Annual Dividend %,
Ask,19.4
Ask Size,800.0
B/A Ratio,0.125
B/A Size,100x800
Beta,
Bid,16.9
Bid Size,100.0
Closing Price,17.34
Day Change $,-0.09
Day Change %,-0.0052
Day High,17.64
Day Low,17.31
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.54
Ex-dividend Date,No dividend
Historical Volatility,0.652
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,4.9B
"P/E Ratio (TTM, GAAP)",
Prev Close,17.43
Shares Outstanding,283.0M
Short Interest,0.0313
Today's Open,17.35
Volume,75408.0
Volume 10-day Avg,375270.0
Volume Past Day,(Light)
