,INFA
Price/Earnings (TTM),
Price/Sales (TTM),3.24376
Price/Book (MRQ),2.4908
Price/Cash Flow (TTM),44.56643
5yr Low,16.2
5yr High,40.13
5yr Avg Return,-0.09485000000000003
Short Int Current Month,3528599.0
Short Int Prev Month,3772627.0
Short Int Pct of Float,0.0312855
Days to Cover,8.8004
Float,112.7521
Shares Outstanding,283.0431
Institutions Holding Shares,139.0
% Held by Institutions,0.453924
FCF Growth 5yr,0.05411406270469513
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
