,SCI
Next Earnings Announcement,2023-02-14 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,-0.16083916083916083
Growth 1yr High Est,-0.19213973799126638
Growth 1yr Consensus Est,-0.1764894494152136
Growth 2yr Low Est,-0.10125291375291373
Growth 2yr High Est,-0.10958338250914673
Growth 2yr Consensus Est,-0.10541814813103023
Growth 5yr Low Est,0.2638472273340695
Growth 5yr High Est,0.2884725574500898
Growth 5yr Consensus Est,0.27615989239207966
Growth 5yr Actual/Est,0.21662911358406203
Growth 3yr Historic,0.27550642069090253
