,SCI
% Below High,0.0533
% Held by Institutions,0.8759999999999999
52-Wk Range,['56.85 - 75.12']
Annual Dividend $,1.08
Annual Dividend %,0.0151
Ask,71.14
Ask Size,400.0
B/A Ratio,0.5
B/A Size,200x400
Beta,0.8
Bid,71.09
Bid Size,200.0
Day Change $,-0.3
Day Change %,-0.0042
Day High,72.06
Day Low,70.71
Dividend Pay Date,2022-12-30 00:00:00
"EPS (TTM, GAAP)",4.16
Ex-dividend,2022-12-14 00:00:00
Ex-dividend Date,12/14/22
Historical Volatility,0.312
Last (size),100.0
Last (time),1:46p ET 11/28/22
Market Cap,10.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",17.18
Prev Close,71.41
Price,71.11
Shares Outstanding,153.8M
Short Interest,0.0373
Today's Open,71.0
Volume Past Day,(Below Average)
