,SCI
Price/Earnings (TTM),17.17974
Price/Sales (TTM),2.6631
Price/Book (MRQ),6.58825
Price/Cash Flow (TTM),11.42265
5yr Low,33.93
5yr High,75.12
5yr Avg Return,0.12918333333333334
EPS Growth 5yr,0.39201929999999996
Revenue Growth 5yr,0.0644981
Dividend Growth 5yr,0.11456569999999999
Short Int Current Month,5545439.0
Short Int Prev Month,4709918.0
Short Int Pct of Float,0.0372508
Days to Cover,3.59537
Float,149.2343
Shares Outstanding,153.8055
Institutions Holding Shares,647.0
% Held by Institutions,0.875951
FCF Growth 5yr,-0.044895266605986306
