,FIVN
Price/Earnings (TTM),
Price/Sales (TTM),5.74959
Price/Book (MRQ),15.87747
Price/Cash Flow (TTM),
5yr Low,22.51
5yr High,211.68
5yr Avg Return,0.36016666666666675
EPS Growth 5yr,
Revenue Growth 5yr,0.3033362
Dividend Growth 5yr,
Short Int Current Month,5848661.0
Short Int Prev Month,5241950.0
Short Int Pct of Float,0.0842909
Days to Cover,2.16938
Float,69.43021
Shares Outstanding,70.50539
Institutions Holding Shares,423.0
% Held by Institutions,1.001315
FCF Growth 5yr,-1.9572565442312662
