,BLKB
Price/Earnings (TTM),
Price/Sales (TTM),3.0188
Price/Book (MRQ),4.24766
Price/Cash Flow (TTM),45.16914
5yr Low,38.22
5yr High,120.35
5yr Avg Return,-0.051866666666666644
EPS Growth 5yr,-0.34224649999999995
Revenue Growth 5yr,0.0486379
Dividend Growth 5yr,
Short Int Current Month,1372746.0
Short Int Prev Month,1440436.0
Short Int Pct of Float,0.0324093
Days to Cover,4.43163
Float,52.12545
Shares Outstanding,53.09743
Institutions Holding Shares,322.0
% Held by Institutions,0.982614
FCF Growth 5yr,2.059459076259487
