,BLKB
Next Earnings Announcement,2023-02-21 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,-0.10726643598615915
Growth 1yr High Est,-0.1291390728476821
Growth 1yr Consensus Est,-0.11820275441692063
Growth 2yr Low Est,-0.049757249000831505
Growth 2yr High Est,0.1521605015989727
Growth 2yr Consensus Est,0.0512016262990706
Growth 5yr Low Est,0.05353046640867512
Growth 5yr High Est,0.1586793697422176
Growth 5yr Consensus Est,0.10610491807544636
Growth 5yr Actual/Est,0.10299069718631548
Growth 3yr Historic,0.08662840136054417
