,HQY
Next Earnings Announcement,2022-12-06 00:00:00
Growth Analysts,11.0
Growth 1yr Low Est,-0.06870229007633588
Growth 1yr High Est,-0.08450704225352101
Growth 1yr Consensus Est,-0.07660466616492845
Growth 2yr Low Est,0.12138655987986491
Growth 2yr High Est,0.2308234019501625
Growth 2yr Consensus Est,0.1761049809150137
Growth 5yr Low Est,0.026917813046893446
Growth 5yr High Est,0.06989997027123901
Growth 5yr Consensus Est,0.04840889165906623
Growth 5yr Actual/Est,0.03279219859375443
Growth 3yr Historic,-0.05238629883090959
