,HQY
% Below High,0.2107
% Held by Institutions,1.0201
52-Wk Range,['36.81 - 79.20']
Annual Dividend $,
Annual Dividend %,
Ask,62.48
Ask Size,500.0
B/A Ratio,0.4
B/A Size,200x500
Beta,0.8
Bid,61.2
Bid Size,200.0
Closing Price,62.51
Day Change $,0.79
Day Change %,0.0128
Day High,63.0
Day Low,61.5
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.74
Ex-dividend Date,No dividend
Historical Volatility,0.509
Last (size),47.0
Last (time),1:00p ET 11/25/22
Market Cap,5.3B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,61.72
Shares Outstanding,84.5M
Short Interest,0.0377
Today's Open,61.8
Volume,201568.0
Volume 10-day Avg,1026540.0
Volume Past Day,(Light)
