,HQY
Price/Earnings (TTM),
Price/Sales (TTM),6.64596
Price/Book (MRQ),2.83325
Price/Cash Flow (TTM),58.37401
5yr Low,34.4
5yr High,101.58
5yr Avg Return,0.06910000000000001
EPS Growth 5yr,
Revenue Growth 5yr,0.3350694
Dividend Growth 5yr,
Short Int Current Month,3120810.0
Short Int Prev Month,3547576.0
Short Int Pct of Float,0.0377025
Days to Cover,3.3937
Float,82.86566
Shares Outstanding,84.53073
Institutions Holding Shares,402.0
% Held by Institutions,1.020141
FCF Growth 5yr,-6.387538115872252
