,OSBC
Next Earnings Announcement,2023-01-25 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,0.5999999999999999
Growth 1yr High Est,0.6145833333333335
Growth 1yr Consensus Est,0.6072916666666667
Growth 2yr Low Est,0.45972222222222214
Growth 2yr High Est,0.53309811827957
Growth 2yr Consensus Est,0.49641017025089607
Growth 5yr Low Est,0.15564236111111107
Growth 5yr High Est,0.19975516601001397
Growth 5yr Consensus Est,0.17769876356056252
Growth 5yr Actual/Est,0.15638495568163088
Growth 3yr Historic,0.04648829431438131
