,OSBC
% Below High,0.032
% Held by Institutions,0.6724
52-Wk Range,['11.95 - 17.80']
Annual Dividend $,0.2
Annual Dividend %,0.0115
Ask,27.53
Ask Size,200.0
B/A Ratio,14.5
B/A Size,2900x200
Beta,1.1
Bid,17.19
Bid Size,2900.0
Closing Price,17.23
Day Change $,-0.23
Day Change %,-0.0132
Day High,17.5
Day Low,17.17
Dividend Pay Date,2022-11-07 00:00:00
"EPS (TTM, GAAP)",0.7
Ex-dividend,2022-10-27 00:00:00
Ex-dividend Date,10/27/22
Historical Volatility,0.308
Last (size),327.0
Last (time),3:59p ET 11/28/22
Market Cap,766.2M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",24.86
Prev Close,17.46
Shares Outstanding,44.6M
Short Interest,0.0144
Today's Open,17.42
Volume,112116.0
Volume 10-day Avg,149587.0
Volume Past Day,(Light)
