,IMGN
% Above Low,0.664
% Held by Institutions,0.8943000000000001
52-Wk Range,['3.10 - 7.77']
Annual Dividend $,
Annual Dividend %,
Ask,5.15
Ask Size,1700.0
B/A Ratio,0.29411764705882354
B/A Size,500x1700
Beta,1.0
Bid,5.1
Bid Size,500.0
Closing Price,5.15
Day Change $,-0.01
Day Change %,-0.0019
Day High,5.21
Day Low,5.06
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.82
Ex-dividend Date,No dividend
Historical Volatility,0.782
Last (size),1.0
Last (time),1:00p ET 11/25/22
Market Cap,1.1B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,5.16
Shares Outstanding,220.8M
Short Interest,0.0754
Today's Open,5.11
Volume,916959.0
Volume 10-day Avg,5287112.0
Volume Past Day,(Light)
