,IMGN
Next Earnings Announcement,2023-02-24 00:00:00
Growth Analysts,11.0
Growth 1yr Low Est,0.2933333333333332
Growth 1yr High Est,0.28125
Growth 1yr Consensus Est,0.2872916666666666
Growth 2yr Low Est,0.26522336769759447
Growth 2yr High Est,-0.3166920731707317
Growth 2yr Consensus Est,-0.025734352736568628
Growth 5yr Low Est,0.26522336769759447
Growth 5yr High Est,-0.3166920731707317
Growth 5yr Consensus Est,-0.025734352736568628
Growth 5yr Actual/Est,0.34238027469052146
Growth 3yr Historic,0.26928571428571435
