,IMGN
Price/Earnings (TTM),
Price/Sales (TTM),11.89105
Price/Book (MRQ),6.38665
Price/Cash Flow (TTM),
5yr Low,1.76
5yr High,13.41
5yr Avg Return,-0.000866666666666666
Short Int Current Month,16573725.0
Short Int Prev Month,17723996.0
Short Int Pct of Float,0.07538979999999999
Days to Cover,3.21461
Float,219.8403
Shares Outstanding,220.7509
Institutions Holding Shares,292.0
% Held by Institutions,0.89428
FCF Growth 5yr,
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
