,HSIC
% Below High,0.1213
% Held by Institutions,0.9767
52-Wk Range,['64.75 - 92.68']
Annual Dividend $,
Annual Dividend %,
Ask,81.73
Ask Size,100.0
B/A Ratio,18.0
B/A Size,1800x100
Beta,0.8
Bid,81.04
Bid Size,1800.0
Closing Price,81.44
Day Change $,1.04
Day Change %,0.0129
Day High,81.9
Day Low,80.21
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",4.59
Ex-dividend Date,No dividend
Historical Volatility,0.263
Last (size),1200.0
Last (time),1:00p ET 11/25/22
Market Cap,11.0B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",17.73
Prev Close,80.4
Shares Outstanding,135.5M
Short Interest,0.0395
Today's Open,80.64
Volume,382742.0
Volume 10-day Avg,1241507.0
Volume Past Day,(Light)
