,ENPH
% Below High,0.0167
% Held by Institutions,0.7863
52-Wk Range,['113.40 - 324.84']
Annual Dividend $,
Annual Dividend %,
Ask,319.38
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.3
Bid,318.95
Bid Size,100.0
Closing Price,319.42
Day Change $,3.64
Day Change %,0.0115
Day High,323.44
Day Low,310.75
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",2.05
Ex-dividend Date,No dividend
Historical Volatility,0.718
Last (size),20.0
Last (time),12:59p ET 11/25/22
Market Cap,43.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",155.8
Prev Close,315.78
Shares Outstanding,135.9M
Short Interest,0.0356
Today's Open,315.05
Volume,1538815.0
Volume 10-day Avg,4012681.0
Volume Past Day,(Light)
