,ENPH
Price/Earnings (TTM),155.7964
Price/Sales (TTM),21.50492
Price/Book (MRQ),71.13389
Price/Cash Flow (TTM),124.0697
5yr Low,1.83
5yr High,324.84
5yr Avg Return,1.9709666666666665
EPS Growth 5yr,
Revenue Growth 5yr,0.3377478
Dividend Growth 5yr,
Short Int Current Month,4741366.0
Short Int Prev Month,4768089.0
Short Int Pct of Float,0.035593
Days to Cover,1.31482
Float,133.1729
Shares Outstanding,135.9236
Institutions Holding Shares,1269.0
% Held by Institutions,0.786286
FCF Growth 5yr,0.6896961502881948
