,PFHD
Next Earnings Announcement,2023-01-26 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,0.07499999999999996
Growth 1yr High Est,0.15853658536585358
Growth 1yr Consensus Est,0.11676829268292677
Growth 2yr Low Est,0.16249999999999998
Growth 2yr High Est,0.2108472400513478
Growth 2yr Consensus Est,0.1866736200256739
Growth 5yr Low Est,0.16249999999999998
Growth 5yr High Est,0.2108472400513478
Growth 5yr Consensus Est,0.1866736200256739
Growth 5yr Actual/Est,0.6396213837846345
Growth 3yr Historic,0.4946236559139785
