,PFHD
Price/Earnings (TTM),19.21936
Price/Sales (TTM),4.6026
Price/Book (MRQ),1.73028
Price/Cash Flow (TTM),18.22758
5yr Low,9.63
5yr High,31.25
5yr Avg Return,0.13796666666666668
Short Int Current Month,214044.0
Short Int Prev Month,223878.0
Short Int Pct of Float,0.0167087
Days to Cover,1.81442
Float,12.81158
Shares Outstanding,13.81443
Institutions Holding Shares,116.0
% Held by Institutions,0.661052
FCF Growth 5yr,-0.005602240896358561
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
