,PFHD
% Below High,0.0467
% Held by Institutions,0.6611
52-Wk Range,['18.36 - 31.25']
Annual Dividend $,
Annual Dividend %,
Ask,29.76
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,0.3
Bid,29.69
Bid Size,100.0
Day Change $,-0.01
Day Change %,-0.0003
Day High,29.79
Day Low,29.45
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.55
Ex-dividend Date,No dividend
Historical Volatility,0.40399999999999997
Last (size),100.0
Last (time),10:35a ET 11/28/22
Market Cap,411.5M
"P/E Ratio (TTM, GAAP)",19.22
Prev Close,29.8
Price,29.79
Shares Outstanding,13.8M
Short Interest,0.0167
Today's Open,29.78
Volume Past Day,(Light)
