,GOOGL
% Above Low,0.16940000000000002
% Held by Institutions,0.7615000000000001
52-Wk Range,['83.34 - 151.55']
Annual Dividend $,
Annual Dividend %,
Ask,97.37
Ask Size,400.0
B/A Ratio,0.5
B/A Size,200x400
Beta,1.1
Bid,97.33
Bid Size,200.0
Closing Price,97.46
Day Change $,-1.0
Day Change %,-0.0102
Day High,98.64
Day Low,97.4
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",4.94
Ex-dividend Date,No dividend
Historical Volatility,0.379
Last (size),500.0
Last (time),1:00p ET 11/25/22
Market Cap,1.3T
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",19.73
Prev Close,98.46
Shares Outstanding,12.9B
Short Interest,0.009000000000000001
Today's Open,98.24
Volume,9701441.0
Volume 10-day Avg,28516948.0
Volume Past Day,(Light)
