,GOOGL
Price/Earnings (TTM),19.72627
Price/Sales (TTM),4.47437
Price/Book (MRQ),4.98432
Price/Cash Flow (TTM),15.36439
5yr Low,48.88
5yr High,151.55
5yr Avg Return,0.15188333333333331
EPS Growth 5yr,0.3211326
Revenue Growth 5yr,0.2333633
Dividend Growth 5yr,
Short Int Current Month,53117948.0
Short Int Prev Month,51989928.0
Short Int Pct of Float,0.009003
Days to Cover,1.24539
Float,11592.08
Shares Outstanding,12943.0
Institutions Holding Shares,4855.0
% Held by Institutions,0.7614709999999999
FCF Growth 5yr,0.2088753288980952
