,ALLE
Price/Earnings (TTM),23.28926
Price/Sales (TTM),3.21914
Price/Book (MRQ),12.691
Price/Cash Flow (TTM),19.08117
5yr Low,73.85
5yr High,148.7
5yr Avg Return,0.07836666666666667
EPS Growth 5yr,0.1768459
Revenue Growth 5yr,0.0508135
Dividend Growth 5yr,0.2457309
Short Int Current Month,1790195.0
Short Int Prev Month,2020364.0
Short Int Pct of Float,0.020490400000000002
Days to Cover,2.16488
Float,87.40339
Shares Outstanding,87.84482
Institutions Holding Shares,750.0
% Held by Institutions,0.952008
FCF Growth 5yr,2.235199485199485
