,UNP
Next Earnings Announcement,2023-01-19 00:00:00
Growth Analysts,26.0
Growth 1yr Low Est,0.16632653061224478
Growth 1yr High Est,0.1696606786427146
Growth 1yr Consensus Est,0.1679936046274797
Growth 2yr Low Est,0.02323325655721603
Growth 2yr High Est,0.12877231884354157
Growth 2yr Consensus Est,0.0760027877003788
Growth 5yr Low Est,0.05855376211584204
Growth 5yr High Est,0.09813701150084367
Growth 5yr Consensus Est,0.07834538680834285
Growth 5yr Actual/Est,0.09604900878482389
Growth 3yr Historic,0.048055795967490406
